MatSize,Tile,CF,BlockDim,OutputTile,Time_ms,GFLOPS,Correct
512,cuBLAS,cuBLAS,—,—,0.0358,7489.83,1
512,8,1,8x8,8,0.1577,1702.23,1
512,8,2,8x8,16,0.0768,3495.25,1
512,8,4,8x8,32,0.0502,5349.88,1
512,8,8,8x8,64,0.0850,3158.36,1
512,16,1,16x16,16,0.1278,2100.30,1
512,16,2,16x16,32,0.0532,5041.23,1
512,16,4,16x16,64,0.0430,6241.52,1
512,16,8,16x16,128,0.1442,1862.07,1
512,32,1,32x32,32,0.1270,2114.06,1
512,32,2,32x32,64,0.0482,5566.43,1
512,32,4,32x32,128,0.1004,2674.94,1
1024,cuBLAS,cuBLAS,—,—,0.1454,14768.68,1
1024,8,1,8x8,8,1.1674,1839.61,1
1024,8,2,8x8,16,0.5202,4128.25,1
1024,8,4,8x8,32,0.3297,6512.89,1
1024,8,8,8x8,64,0.3617,5936.74,1
1024,16,1,16x16,16,0.8980,2391.28,1
1024,16,2,16x16,32,0.3482,6168.09,1
1024,16,4,16x16,64,0.2130,10082.46,1
1024,16,8,16x16,128,0.2835,7574.36,1
1024,32,1,32x32,32,0.9615,2233.39,1
1024,32,2,32x32,64,0.3400,6316.72,1
1024,32,4,32x32,128,0.2008,10694.64,1
2048,cuBLAS,cuBLAS,—,—,0.7875,21816.93,1
2048,8,1,8x8,8,9.0737,1893.38,1
2048,8,2,8x8,16,3.9270,4374.76,1
2048,8,4,8x8,32,2.4576,6990.51,1
2048,8,8,8x8,64,2.7720,6197.72,1
2048,16,1,16x16,16,6.9582,2469.00,1
2048,16,2,16x16,32,2.5702,6684.15,1
2048,16,4,16x16,64,1.5483,11096.04,1
2048,16,8,16x16,128,1.8237,9420.11,1
2048,32,1,32x32,32,7.5304,2281.39,1
2048,32,2,32x32,64,2.4105,7127.11,1
2048,32,4,32x32,128,1.3518,12708.81,1
4096,cuBLAS,cuBLAS,—,—,5.7252,24006.03,1
4096,8,1,8x8,8,117.7180,1167.53,1
4096,8,2,8x8,16,32.8438,4184.63,1
4096,8,4,8x8,32,18.3921,7472.73,1
4096,8,8,8x8,64,19.8451,6925.58,1
4096,16,1,16x16,16,53.3464,2576.35,1
4096,16,2,16x16,32,19.7663,6953.21,1
4096,16,4,16x16,64,11.6265,11821.18,1
4096,16,8,16x16,128,13.3798,10272.14,1
4096,32,1,32x32,32,56.2729,2442.37,1
4096,32,2,32x32,64,18.3859,7475.23,1
4096,32,4,32x32,128,11.1360,12341.86,1
